Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
논란이 되다,to become a controversy/issue,논란 (controversy/dispute) + 이 (subject particle) + 되다 (to become),,가장 논란이 되고 있는 곳은 바로 취업 시장입니다.,The place where it is becoming most controversial is the job market.,Phrase
적어 내다,to write down and submit,"적다 (to write) + -아/어 내다 (auxiliary verb indicating completion of an action, often with effort, or submission)",,"최근 몇 년 사이, 아르바이트생을 구하거나 신입사원을 채용할 때 이력서에 MBTI를 필수로 적어 내라는 기업들이 생겨났습니다.","In recent years, companies have emerged that require MBTI to be written as mandatory on resumes when hiring part-time workers or new employees.",Phrase
공고를 올리다,to post an announcement/notice,공고 (announcement/notice) + 를 (object particle) + 올리다 (to raise/post),,"특정 카페에서는 ""활발한 E(외향형) 유형만 지원 가능""이라는 공고를 올려 차별 논란이 일기도 했고, 어떤 대기업 면접에서는 ""본인의 MBTI 장단점을 우리 회사의 직무와 연결해서 설명해 보세요""라는 질문이 등장했습니다.","A certain cafe even posted an announcement stating, ""Only active E (extrovert) types can apply,"" sparking controversy over discrimination, and in some large company interviews, questions like, ""Explain the pros and cons of your MBTI in relation to our company's job duties,"" appeared.",Phrase
바꿔놓다,to change (and leave it in that state),바꾸다 (to change) + -아/어 놓다 (auxiliary verb indicating completion of an action and maintaining the resulting state),,일상 대화 속에서도 MBTI는 언어 습관을 완전히 바꿔놓았습니다.,"Even in daily conversations, MBTI has completely changed language habits.",Phrase
계획표를 짜오다,to make/draw up a plan/schedule and bring it,"계획표 (plan/schedule) + 를 (object particle) + 짜다 (to weave/make/form) + 오다 (to come, indicating an action done and brought back or done towards the speaker)",,"반대로 친구들과 여행을 갈 때 분 단위로 엑셀 계획표를 짜오는 친구에게는 ""너 완전 파워 J(계획형)구나!""라며 감탄하기도 합니다.","Conversely, when going on a trip with friends, I sometimes exclaim to a friend who comes with an Excel plan made down to the minute, ""You're totally a power J (planner type)!""",Phrase
안정감을 얻다,to gain a sense of stability/security,안정감 (sense of stability/security) + 을 (object particle) + 얻다 (to get/gain),,"또한, 소속감을 중요하게 생각하는 한국 문화의 특성상 ""나와 같은 유형의 사람들이 이렇게 많구나""라는 사실에서 심리적 안정감을 얻기도 합니다.","Furthermore, due to the characteristic of Korean culture that values a sense of belonging, people sometimes gain psychological stability from the fact that ""there are so many people of the same type as me.""",Phrase
혹시,by any chance,"惑 (혹: confuse, doubt) + 是 (시: be, right)",Adverb,"""혹시 MBTI가 어떻게 되세요?"" -","""By any chance, what is your MBTI?""",
되다,to be,Pure Korean,Verb,"""혹시 MBTI가 어떻게 되세요?"" -","""By any chance, what is your MBTI?""",
대한민국,Republic of Korea,大 (대: great) + 韓 (한: Korea) + 民 (민: people) + 國 (국: nation),Noun,대한민국을 지배하는 16가지 마법의 알파벳,16 magical alphabets that rule the Republic of Korea,
지배,"rule, dominance","支 (지: control, support) + 配 (배: distribute, allocate)",Noun,대한민국을 지배하는 16가지 마법의 알파벳,16 magical alphabets that rule the Republic of Korea,
가지,"kinds, types",Pure Korean,Noun,대한민국을 지배하는 16가지 마법의 알파벳,16 magical alphabets that rule the Republic of Korea,
마법,magic,"魔 (마: devil, magic) + 法 (법: law, method)",Noun,대한민국을 지배하는 16가지 마법의 알파벳,16 magical alphabets that rule the Republic of Korea,
알파벳,alphabet,Pure Korean,Noun,대한민국을 지배하는 16가지 마법의 알파벳,16 magical alphabets that rule the Republic of Korea,
요즘,"nowadays, these days",Pure Korean,Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
한국,Korea,韓 (한: Korea) + 國 (국: nation),Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
처음,first time,Pure Korean,Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
만나다,to meet,Pure Korean,Verb,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
사람,person,Pure Korean,Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
나이,age,Pure Korean,Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
직업,"occupation, job","職 (직: office, occupation) + 業 (업: business, profession)",Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
고향,hometown,"故 (고: old, hometown) + 鄕 (향: hometown, country)",Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
먼저,"first, before",Pure Korean,Adverb,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
질문,question,"質 (질: quality, question) + 問 (문: ask, inquire)",Noun,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
있다,"to exist, to have",Pure Korean,Verb,"요즘 한국에서 처음 만난 사람에게 나이나 직업, 고향보다 먼저 묻는 질문이 있습니다.","Nowadays, in Korea, there is a question people ask someone they meet for the first time, even before age, occupation, or hometown.",
바로,"precisely, right",Pure Korean,Adverb,"바로 ""MBTI가 뭐예요?""라는 질문입니다.","It is precisely the question, ""What is your MBTI?""",
불과,"merely, only","不 (불: not) + 過 (과: pass, exceed)",Adverb,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
년,year,年 (년: year),Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
전,"before, ago","前 (전: front, before)",Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
하다,to do,Pure Korean,Verb,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
성격,"personality, character","性 (성: nature, character) + 格 (격: standard, character)",Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
개,"count, piece",Pure Korean,Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
혈액형,blood type,"血 (혈: blood) + 液 (액: liquid) + 型 (형: type, model)",Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
나누다,"to divide, to share",Pure Korean,Verb,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
유추,"inference, analogy","類 (유: kind, type) + 推 (추: push, infer)",Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
시절,"time, period","時 (시: time) + 節 (절: season, section)",Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
이제,now,Pure Korean,Adverb,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Merely a decade ago, there was a time when people would infer personalities by dividing them into 4 blood types (A, B, O, AB), but now that era has completely ended.",
시대,"era, age","時代 -> 時 (시: time, hour) + 代 (대: generation, era)",Noun,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Just ten-odd years ago, there was a time when people inferred personalities by dividing them into four blood types (A, B, O, AB), but now that era has completely ended.",
완전히,"completely, entirely","完全히 -> 完 (완: complete, finish) + 全 (전: whole, entire) + -히 (adverbial suffix)",Adverb,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Just ten-odd years ago, there was a time when people inferred personalities by dividing them into four blood types (A, B, O, AB), but now that era has completely ended.",
끝나다,"to end, to be over",Pure Korean,Verb,"불과 십여 년 전만 해도 사람의 성격을 4개의 혈액형(A, B, O, AB)으로 나누며 성격을 유추하던 시절이 있었지만, 이제 그 시대는 완전히 끝났습니다.","Just ten-odd years ago, there was a time when people inferred personalities by dividing them into four blood types (A, B, O, AB), but now that era has completely ended.",
자리,"place, position",Pure Korean,Noun,그 자리를 16가지 알파벳 조합인 MBTI가 완벽하게 차지했죠.,"The MBTI, a combination of 16 alphabet types, has perfectly taken that place.",
조합,combination,"組合 -> 組 (조: group, form) + 合 (합: join, combine)",Noun,그 자리를 16가지 알파벳 조합인 MBTI가 완벽하게 차지했죠.,"The MBTI, a combination of 16 alphabet types, has perfectly taken that place.",
완벽,"perfection, flawless","完璧 -> 完 (완: complete, finish) + 璧 (벽: jade disk)",Noun,그 자리를 16가지 알파벳 조합인 MBTI가 완벽하게 차지했죠.,"The MBTI, a combination of 16 alphabet types, has perfectly taken that place.",
차지,"taking up, occupying",Pure Korean,Noun,그 자리를 16가지 알파벳 조합인 MBTI가 완벽하게 차지했죠.,"The MBTI, a combination of 16 alphabet types, has perfectly taken that place.",
단순,simplicity,"單純 -> 單 (단: single, simple) + 純 (순: pure, innocent)",Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
인터넷,internet,Loanword,Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
심리,"psychology, mentality","心理 -> 心 (심: heart, mind) + 理 (리: reason, principle)",Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
테스트,test,Loanword,Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
넘다,"to go beyond, to exceed",Pure Korean,Verb,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
사회,society,"社會 -> 社 (사: society, company) + 會 (회: gathering, meeting)",Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
살아가다,"to live on, to get by",Pure Korean,Verb,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
데,"point, fact (dependent noun)",Pure Korean,Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
필요,"need, necessity","必要 -> 必 (필: certainly, must) + 要 (요: need, want)",Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
필수,"essential, mandatory","必須 -> 必 (필: certainly, must) + 需 (수: need, demand)",Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
디지털,digital,Loanword,Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
명함,"business card, name card","名銜 -> 名 (명: name, reputation) + 銜 (함: title, rank)",Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
바코드,barcode,Loanword,Noun,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has moved beyond being a simple online psychological test to become an essential 'digital business card' and social barcode necessary for living in Korean society.",
가장,most,Pure Korean,Adverb,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
눈,eye,Pure Korean,Noun,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
띄다,"to be noticeable, to catch the eye",Pure Korean,Verb,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
변화,change,"變化 -> 變 (변: change, alter) + 化 (화: change, transform)",Noun,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
세대,generation,"世代 -> 世 (세: world, generation) + 代 (대: generation, era)",Noun,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
연애,"dating, romantic relationship","戀愛 -> 戀 (연: love, yearn for) + 愛 (애: love)",Noun,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
인간관계,"human relationships, interpersonal relationships","人間關係 -> 人 (인: person, human) + 間 (간: between, space) + 關 (관: relation, connect) + 係 (계: connect, system)",Noun,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
나타나다,"to appear, to emerge",Pure Korean,Verb,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
예전,"the past, old days",Pure Korean,Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If the frequent questions at previous blind dates were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, asking ""What's your MBTI?"" as soon as one sits down has become the ""kuk-rul"" (a common rule).",
소개팅,blind date,"紹介 (소개: introduction) + 'meeting' (from English) -> 紹 (소: introduce, continue) + 介 (개: intermediate, introduce) + 'meeting'",Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If the frequent questions at previous blind dates were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, asking ""What's your MBTI?"" as soon as one sits down has become the ""kuk-rul"" (a common rule).",
단골,frequently asked,Pure Korean,Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
취미,hobby,"趣 (취: interest, taste) + 味 (미: taste, flavor)",Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
음식,food,"飲 (음: drink) + 食 (식: eat, food)",Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
좋아하다,to like,Pure Korean,Verb,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
앉다,to sit,Pure Korean,Verb,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
어떻게,how,Pure Korean,Adverb,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
것,thing,Pure Korean,Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
국,national,"國 (국: nation, country)",Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
룰,rule,Loanword (from English 'rule'),Noun,"예전 소개팅 자리의 단골 질문이 ""취미가 어떻게 되세요?""나 ""어떤 음식 좋아하세요?""였다면, 요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","If in the past the frequently asked questions at a blind date were ""What are your hobbies?"" or ""What kind of food do you like?"", nowadays, as soon as you sit down, asking ""What's your MBTI?"" has become the national norm (universal rule).",
