Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
등,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",etc.,"This is a method where people gather after work at cafes, study rooms, friends' houses, etc., and collectively handle the pending miscellaneous tasks in a quiet atmosphere.",등 (etc.)
공과금,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",utilities,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",공 (public) + 과 (impose) + 금 (money)
납부,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",payment,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",납 (pay) + 부 (give)
보험,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",insurance,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",보 (protect) + 험 (risk)
서류,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",documents,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",서 (document) + 류 (type)
정리,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",organization,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",정 (tidy) + 리 (manage)
밀리다,Verb,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",to be pending,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",Pure Korean
이메일,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",email,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",Pure Korean
행정,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",administrative,"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",행 (perform) + 정 (government)
붙다,Verb,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",to be given (a name),"This name was given because people usually do administrative tasks together, such as paying utility bills, organizing insurance documents, and processing pending emails.",Pure Korean
초,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",early (part of year),Admin Night rapidly spread on TikTok and Instagram after being first highlighted by the Wall Street Journal early this year.,초 (beginning)
월스트리트저널,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",Wall Street Journal,Admin Night rapidly spread on TikTok and Instagram after being first highlighted by the Wall Street Journal early this year.,Pure Korean
조명,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",highlighted,"Admin Night rapidly spread, primarily through TikTok and Instagram, after the Wall Street Journal first highlighted it earlier this year.","조 (비출 조, shine/illuminate) + 명 (밝을 명, bright/light)"
틱톡,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",TikTok,"Admin Night rapidly spread, primarily through TikTok and Instagram, after the Wall Street Journal first highlighted it earlier this year.",Loanword
인스타그램,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",Instagram,"Admin Night rapidly spread, primarily through TikTok and Instagram, after the Wall Street Journal first highlighted it earlier this year.",Loanword
확산,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",spread,"Admin Night rapidly spread, primarily through TikTok and Instagram, after the Wall Street Journal first highlighted it earlier this year.","확 (넓힐 확, expand/widen) + 산 (흩을 산, scatter/disperse)"
에너지,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",energy,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.",Loanword
소모,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",consumption,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.","소 (사라질 소, disappear/vanish) + 모 (소모할 모, consume/waste)"
사교,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",social,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.","사 (모일 사, gather/society) + 교 (사귈 교, associate/interact)"
생산,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",productive,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.","생 (날 생, be born/live) + 산 (낳을 산, give birth/produce)"
연결,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",connection,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.","연 (이어질 연, connect/link) + 결 (맺을 결, tie/bind)"
원하다,Verb,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",desire,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.",Pure Korean
젊다,Adjective,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",young,"It has established itself as a new social gathering method for the younger generation, who desire productivity and a sense of connection, instead of drinking parties or social gatherings that consume a lot of energy.",Pure Korean
참여,Noun,모임에 참여한 이들은 보고 싶은 친구와 시간을 보내면서 밀린 일까지 처리할 수 있다는 점을 가장 큰 매력으로 꼽는다.,participated,Those who participated in the gatherings cite the ability to spend time with friends they want to see while also catching up on pending work as the greatest appeal.,"참 (참여할 참, participate) + 여 (더불 여, together with)"
매력,Noun,모임에 참여한 이들은 보고 싶은 친구와 시간을 보내면서 밀린 일까지 처리할 수 있다는 점을 가장 큰 매력으로 꼽는다.,appeal,Those who participated in the gatherings cite the ability to spend time with friends they want to see while also catching up on pending work as the greatest appeal.,"매 (홀릴 매, charm/bewitch) + 력 (힘 력, power/force)"
실제로,Adverb,함께 모여 각자 일을 하는 어드민 나이트는 실제로 효율이 있을까.,actually,"Do Admin Nights, where people gather to work individually, actually have efficiency?","실 (열매 실, fruit/reality) + 제 (사이 제, border/occasion)"
효율,Noun,함께 모여 각자 일을 하는 어드민 나이트는 실제로 효율이 있을까.,efficiency,"Do Admin Nights, where people gather to work individually, actually have efficiency?","효 (본받을 효, imitate/effect) + 율 (비율 율, rate/ratio)"
집중,Noun,신기하게도 혼자라면 계속 미루던 일도 다른 사람들과 함께 있는 환경에서는 집중하게 되는 경우가 많다.,focused,"Surprisingly, tasks that one would continuously postpone when alone are often focused on when in an environment with other people.","집 (모을 집, gather/collect) + 중 (가운데 중, middle/center)"
배경,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,background,Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,"배 (등 배, back) + 경 (볕 경, scenery/view)"
심리학,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,psychological,Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,"심 (마음 심, heart/mind) + 리 (이치 리, reason/principle) + 학 (배울 학, study/learn)"
개념,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,concept,Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,"개 (대개 개, outline/general) + 념 (생각 념, thought/idea)"
바디,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,Body,Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,Loanword
더블,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,Double,Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,Loanword
링,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,ing (suffix),Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,Loanword (from English '-ing' suffix)
효과,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,effect,Behind this phenomenon is the psychological concept of ‘Body Doubling’ effect.,"효 (본받을 효, imitate/effect) + 과 (열매 과, fruit/result)"
과제,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",task,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.","과 (과목 과, lesson/task) + 제 (제목 제, title/topic)"
수행,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",performs,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.","수 (이룰 수, achieve/accomplish) + 행 (다닐 행, go/perform)"
곁,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",next to,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.",Pure Korean
존재,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",being present,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.","존 (있을 존, exist/preserve) + 재 (있을 재, exist/be at)"
집중력,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",concentration,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.","집 (모을 집, gather/collect) + 중 (가운데 중, middle/center) + 력 (힘 력, power/force)"
책임감,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",responsibility,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.","책 (꾸짖을 책, reproach/responsibility) + 임 (맡길 임, entrust/duty) + 감 (느낄 감, feel/sense)"
높이다,Verb,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",enhances,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while someone performs a task.",Pure Korean
상대,Noun,"상대가 내 일을 도와줄 필요도, 같은 과제를 할 필요도 없다.",the other party,The other party doesn't need to help me with my work or do the same task.,"상 (서로 상, mutual) + 대 (대할 대, to face)"
공간,Noun,같은 공간에서 각자의 일을 하고 있다는 사실만으로도 효과가 나타난다.,space,Just the fact that people are doing their own work in the same space shows an effect.,"공 (빌 공, empty) + 간 (사이 간, interval)"
주의력,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",attention,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","주 (쏠릴 주, to focus) + 의 (뜻 의, intention) + 력 (힘 력, power)"
결핍,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",deficit,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","결 (모자랄 결, to lack) + 핍 (가난할 핍, deficient)"
장애,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",disorder,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","장 (막을 장, to obstruct) + 애 (거리낄 애, to hinder)"
협회,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",association,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","협 (화합할 협, to cooperate) + 회 (모일 회, to gather)"
원래,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",originally,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","원 (근원 원, origin) + 래 (올 래, to come)"
주의력결핍 과다행동장애,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",Attention Deficit Hyperactivity Disorder (ADHD),"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","주의력 (주 (쏠릴 주, to focus) + 의 (뜻 의, intention) + 력 (힘 력, power)) + 결핍 (결 (모자랄 결, to lack) + 핍 (가난할 핍, deficient)) + 과다 (과 (지날 과, to exceed) + 다 (많을 다, many)) + 행동 (행 (다닐 행, to act) + 동 (움직일 동, to move)) + 장애 (장 (막을 장, to obstruct) + 애 (거리낄 애, to hinder))"
당사자,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",individuals (involved),"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","당 (마땅할 당, pertinent) + 사 (일 사, matter) + 자 (사람 자, person)"
증상,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",symptoms,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","증 (증세 증, symptom) + 상 (모양 상, appearance)"
활용,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",utilization,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","활 (살 활, active) + 용 (쓸 용, to use)"
전략,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",strategy,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","전 (싸움 전, war) + 략 (략할 략, strategy)"
완수,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",completion,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","완 (완전할 완, complete) + 수 (이룰 수, to achieve)"
실질,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",practical,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.","실 (열매 실, real) + 질 (바탕 질, substance)"
도움,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",help,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.",Pure Korean
알리다,Verb,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",to be known,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally utilized by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, known to provide practical help in completing boring or challenging tasks.",Pure Korean
타인,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,others,"According to related research, the presence of others strengthens a sense of responsibility and motivation for work, and increases the brain's state of arousal.","타 (다를 타, other) + 인 (사람 인, person)"
동기,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,motivation,"According to related research, the presence of others strengthens a sense of responsibility and motivation for work, and increases the brain's state of arousal.","동 (움직일 동, to move) + 기 (기회 기, motive)"
강화,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,strengthening,"According to related research, the presence of others strengthens a sense of responsibility and motivation for work, and increases the brain's state of arousal.","강 (굳셀 강, strong) + 화 (될 화, to become)"
뇌,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,brain,"According to related research, the presence of others strengthens a sense of responsibility and motivation for work, and increases the brain's state of arousal.","뇌 (골 뇌, brain)"
각성,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,arousal,"According to related research, the presence of others strengthens a sense of responsibility and motivation for work, and increases the brain's state of arousal.","각 (깰 각, to wake up) + 성 (깰 성, to awaken)"
감각,Noun,누군가가 보고 있다는 감각이 해야 할 행동을 지속하게 만드는 것이다.,sense,The sense that someone is watching makes one continue the actions that need to be done.,"감 (느낄 감, to feel) + 각 (깨달을 각, to perceive)"
지속,Noun,누군가가 보고 있다는 감각이 해야 할 행동을 지속하게 만드는 것이다.,continuation,The sense that someone is watching makes one continue the actions that need to be done.,"지 (가질 지, to hold) + 속 (이을 속, to continue)"
제공,Noun,바디 더블링이 제공하는 또 다른 효과는 미러링이다.,provision,Another effect that body doubling provides is mirroring.,"제 (끌 제, to present) + 공 (이바지할 공, to provide)"
또,Adverb,바디 더블링이 제공하는 또 다른 효과는 미러링이다.,another,Another effect that body doubling provides is mirroring.,Pure Korean
미러,Noun,바디 더블링이 제공하는 또 다른 효과는 미러링이다.,mirror,Another effect that body doubling provides is mirroring.,Pure Korean
동화,Noun,다른 사람이 집중해서 일하는 모습을 보면 자연스럽게 그 분위기에 동화되어 함께 집중하게 된다.,assimilate,"When you see others concentrating on their work, you naturally assimilate into that atmosphere and concentrate with them.","동 (같을 동, same) + 화 (될 화, to become)"
묵묵히,Adverb,"혼자라면 내일로 미뤘을 일도, 누군가가 묵묵히 할 일을 하는 옆에서는 더 이상 미루기 어려워진다.",quietly,Even tasks that one would have postponed until tomorrow if alone become difficult to postpone further when someone else is quietly doing their work beside them.,Pure Korean
여럿,Noun,여럿이 모일 필요도 없다.,many people,There's no need for many people to gather.,Pure Korean
외,Noun,"자신 외에 한 사람만 있어도 되고, 직접 만나거나 온라인으로 연결돼 있어도 된다.",besides,"It's fine to have just one person besides yourself, and it can be in person or connected online.","외 (밖 외, outside)"
온라인,Noun,"자신 외에 한 사람만 있어도 되고, 직접 만나거나 온라인으로 연결돼 있어도 된다.",online,"It's okay to have just one other person besides yourself, and they can meet in person or be connected online.",Pure Korean
인식,Noun,서로의 존재를 인식할 수 있는 상태라면 바디 더블링 효과가 나타난다고 전문가들은 설명한다.,recognition,Experts explain that the 'body doubling' effect appears if one is in a state where they can recognize each other's presence.,인 (recognize) + 식 (know)
