Korean,Part of Speech,Example Sentence,English,Sentence Translation
맞추다,Verb,펭귄들은 줄을 맞춰서 천천히 걸어갔습니다.,to align,The penguins walked slowly in a line.
천천히,Adverb,펭귄들은 줄을 맞춰서 천천히 걸어갔습니다.,slowly,The penguins walked slowly in a line.
부르다,Verb,이 행진을 펭귄들의 행진이라고 부릅니다.,to call,This march is called the March of the Penguins.
처음,Noun,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,first time,Pororo was so excited because it was his first long journey.
너무,Adverb,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,so,Pororo was so excited because it was his first long journey.
신,Noun,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,excitement,Pororo was so excited because it was his first long journey.
나다,Verb,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,to arise,Pororo was so excited because it was his first long journey.
뒤뚱뒤뚱,Adverb,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,waddling (sound/manner),"Pororo walked with his friend penguin Crong, who waddled."
친구,Noun,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,friend,"Pororo walked with his friend penguin Crong, who waddled."
크다,Adjective,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,to be big,"Pororo walked with his friend penguin Crong, who waddled."
롱,Noun,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,long (thing/length),"Pororo walked with his friend penguin Crong, who waddled."
빨리,Adverb,"'크롱아, 우리 빨리 가자!'",quickly,"'Crong, let's go quickly!'"
크롱크롱,Noun,크롱은 '크롱크롱!' 하고 대답하며 뽀로로를 따라갔습니다.,Crong-Crong! (sound/exclamation),"Crong replied, 'Crong-Crong!' and followed Pororo."
따라가다,Verb,크롱은 '크롱크롱!' 하고 대답하며 뽀로로를 따라갔습니다.,to follow,"Crong replied, 'Crong-Crong!' and followed Pororo."
덮이다,Verb,펭귄들은 눈 덮인 길을 걸었습니다.,to be covered,The penguins walked on the snow-covered road.
길,Noun,펭귄들은 눈 덮인 길을 걸었습니다.,road,The penguins walked on the snow-covered road.
넘어지다,Verb,"어떤 펭귄은 넘어지기도 하고, 어떤 펭귄은 미끄러지기도 했습니다.",to fall down,"Some penguins fell down, and some slipped."
미끄러지다,Verb,"어떤 펭귄은 넘어지기도 하고, 어떤 펭귄은 미끄러지기도 했습니다.",to slip,"Some penguins fell down, and some slipped."
하지만,Adverb,하지만 펭귄들은 서로 도와주면서 계속 걸어갔습니다.,however,"However, the penguins kept walking, helping each other."
계속,Adverb,하지만 펭귄들은 서로 도와주면서 계속 걸어갔습니다.,continuously,"However, the penguins kept walking, helping each other."
힘들다,Adjective,뽀로로는 걷다가 힘들어서 잠시 쉬고 싶었습니다.,tired,Pororo was tired from walking and wanted to rest for a moment.
잠시,Adverb,뽀로로는 걷다가 힘들어서 잠시 쉬고 싶었습니다.,for a moment,Pororo was tired from walking and wanted to rest for a moment.
쉬다,Verb,뽀로로는 걷다가 힘들어서 잠시 쉬고 싶었습니다.,rest,Pororo was tired from walking and wanted to rest for a moment.
조금,Noun,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",a little,"However, Mommy Penguin encouraged him, saying, 'Pororo, hang in there a little more! We'll arrive soon.'"
더,Adverb,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",more,"However, Mommy Penguin encouraged him, saying, 'Pororo, hang in there a little more! We'll arrive soon.'"
힘내다,Verb,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",hang in there / keep going,"However, Mommy Penguin encouraged him, saying, 'Pororo, hang in there a little more! We'll arrive soon.'"
곧,Adverb,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",soon,"However, Mommy Penguin encouraged him, saying, 'Pororo, hang in there a little more! We'll arrive soon.'"
도착,Noun,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",arrival,"However, Mommy Penguin encouraged him, saying, 'Pororo, hang in there a little more! We'll arrive soon.'"
격려,Noun,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",encouragement,"However, Mommy Penguin encouraged him, saying, 'Pororo, hang in there a little more! We'll arrive soon.'"
중,Noun,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,during,"During their journey, the penguins experienced various difficulties."
가지,Noun,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,kinds,"During their journey, the penguins experienced various difficulties."
어려움,Noun,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,difficulties,"During their journey, the penguins experienced various difficulties."
겪다,Verb,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,experience,"During their journey, the penguins experienced various difficulties."
갑자기,Adverb,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,suddenly,"Suddenly, a blizzard raged, making it difficult to see ahead."
눈보라,Noun,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,blizzard,"Suddenly, a blizzard raged, making it difficult to see ahead."
몰아치다,Verb,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,rage / storm,"Suddenly, a blizzard raged, making it difficult to see ahead."
앞,Noun,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,ahead,"Suddenly, a blizzard raged, making it difficult to see ahead."
보이다,Verb,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,be seen / be visible,"Suddenly, a blizzard raged, making it difficult to see ahead."
어깨,Noun,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,shoulder,The penguins held each other's shoulders and were careful not to lose their way.
잃다,Verb,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,lose,The penguins held each other's shoulders and were careful not to lose their way.
조심,Noun,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,care / caution,The penguins held each other's shoulders and were careful not to lose their way.
또,Adverb,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",also,"Also, there was a penguin who almost fell into the sea when the ice broke."
얼음,Noun,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",ice,"Also, there was a penguin who almost fell into the sea when the ice broke."
깨지다,Verb,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",break / crack,"Also, there was a penguin who almost fell into the sea when the ice broke."
바다,Noun,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",sea,"Also, there was a penguin who almost fell into the sea when the ice broke."
빠지다,Verb,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",fall into / sink,"Also, there was a penguin who almost fell into the sea when the ice broke."
뻔,Noun,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",almost,"Also, there was a penguin who almost fell into the sea when the ice broke."
다행히,Adverb,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,fortunately,"Fortunately, other penguins quickly rescued him, so he was safe."
재빨리,Adverb,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,quickly / swiftly,"Fortunately, other penguins quickly rescued him, so he was safe."
구하다,Verb,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,save / rescue,"Fortunately, other penguins quickly rescued him, so he was safe."
무사,Noun,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,safe,"Fortunately, the other penguins quickly rescued them, so they were safe."
걱정,Noun,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",worry,"Pororo worried, but because he was with his friends, he was able to muster courage."
용기,Noun,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",courage,"Pororo worried, but because he was with his friends, he was able to muster courage."
내다,Verb,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",muster,"Pororo worried, but because he was with his friends, he was able to muster courage."
수,Noun,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",ability,"Pororo worried, but because he was with his friends, he was able to muster courage."
밤,Noun,펭귄들은 밤에는 함께 모여서 잠을 잤습니다.,night,"At night, the penguins gathered together and slept."
잠,Noun,펭귄들은 밤에는 함께 모여서 잠을 잤습니다.,sleep,"At night, the penguins gathered together and slept."
자다,Verb,펭귄들은 밤에는 함께 모여서 잠을 잤습니다.,sleep,"At night, the penguins gathered together and slept."
등,Noun,서로의 등을 기대고 추위를 피했습니다.,back,They leaned against each other's backs to avoid the cold.
기대다,Verb,서로의 등을 기대고 추위를 피했습니다.,lean,They leaned against each other's backs to avoid the cold.
피하다,Verb,서로의 등을 기대고 추위를 피했습니다.,avoid,They leaned against each other's backs to avoid the cold.
밤하늘,Noun,뽀로로는 밤하늘의 별을 보면서 신기해했습니다.,night sky,Pororo marveled while looking at the stars in the night sky.
별,Noun,뽀로로는 밤하늘의 별을 보면서 신기해했습니다.,star,Pororo marveled while looking at the stars in the night sky.
보다,Verb,뽀로로는 밤하늘의 별을 보면서 신기해했습니다.,see,Pororo marveled while looking at the stars in the night sky.
와,Adverb,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",Wow,"'Wow, there are so many stars!' said Pororo. Crong agreed with Pororo's words by saying 'Crong Crong!' next to him."
옆,Noun,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",side,"'Wow, there are so many stars!' said Pororo. Crong agreed with Pororo's words by saying 'Crong Crong!' next to him."
'크롱크,Noun,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",Crong Crong,"'Wow, there are so many stars!' said Pororo. Crong agreed with Pororo's words by saying 'Crong Crong!' next to him."
동의,Noun,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",agreement,"'Wow, there are so many stars!' said Pororo. Crong agreed with Pororo's words by saying 'Crong Crong!' next to him."
며칠,Noun,며칠 동안 펭귄들은 계속 걸었습니다.,several days,"For several days, the penguins kept walking."
동안,Noun,며칠 동안 펭귄들은 계속 걸었습니다.,for (a period),"For several days, the penguins kept walking."
드디어,Adverb,드디어 펭귄들은 목적지에 도착했습니다.,finally,"Finally, the penguins arrived at their destination."
목적지,Noun,드디어 펭귄들은 목적지에 도착했습니다.,destination,"Finally, the penguins arrived at their destination."
수많다,Adjective,그곳은 수많은 펭귄들이 모여 있는 넓은 땅이었습니다.,numerous,It was a wide land where numerous penguins were gathered.
넓다,Adjective,그곳은 수많은 펭귄들이 모여 있는 넓은 땅이었습니다.,wide,It was a wide land where numerous penguins were gathered.
땅,Noun,그곳은 수많은 펭귄들이 모여 있는 넓은 땅이었습니다.,land,It was a wide land where numerous penguins were gathered.
인사,Noun,"펭귄들은 서로 인사를 나누고, 반갑게 맞이했습니다.",greeting,The penguins exchanged greetings with each other and welcomed them warmly.
나누다,Verb,"펭귄들은 서로 인사를 나누고, 반갑게 맞이했습니다.",exchange,The penguins exchanged greetings with each other and welcomed them warmly.
만나다,Verb,뽀로로는 새로운 친구들을 많이 만났습니다.,meet,Pororo met many new friends.
위,Noun,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",top,"Pororo played on the snow with his friends, sliding and having a good time."
뛰어놀다,Verb,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",play,"Pororo played on the snow with his friends, sliding and having a good time."
미끄럼,Noun,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",slide,"Pororo played with his friends on the snow, rode the slide, and had a fun time."
타다,Verb,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",rode,"Pororo played with his friends on the snow, rode the slide, and had a fun time."
시간,Noun,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",time,"Pororo played with his friends on the snow, rode the slide, and had a fun time."
보내다,Verb,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",spent,"Pororo played with his friends on the snow, rode the slide, and had a fun time."
지키다,Verb,뽀로로는 엄마 펭귄 옆에서 알을 따뜻하게 지켜 주었습니다.,kept warm,Pororo stayed by the mother penguin and kept the egg warm.
아빠,Noun,뽀로로는 자기가 아빠가 된 것처럼 기뻤습니다.,father,Pororo was happy as if he had become a father himself.
되다,Verb,뽀로로는 자기가 아빠가 된 것처럼 기뻤습니다.,became,Pororo was happy as if he had become a father himself.
기쁘다,Adjective,뽀로로는 자기가 아빠가 된 것처럼 기뻤습니다.,happy,Pororo was happy as if he had become a father himself.
작다,Adjective,"어느 날, 알에서 작은 아기 펭귄이 태어났습니다.",small,"One day, a small baby penguin was born from the egg."
태어나다,Verb,"어느 날, 알에서 작은 아기 펭귄이 태어났습니다.",was born,"One day, a small baby penguin was born from the egg."
너무나,Adverb,뽀로로는 아기 펭귄을 보면서 너무나 행복했습니다.,so,Pororo was so happy watching the baby penguin.
행복,Noun,뽀로로는 아기 펭귄을 보면서 너무나 행복했습니다.,happy,Pororo was so happy watching the baby penguin.
건강,Noun,뽀로로와 친구들은 아기 펭귄들이 건강하게 자라도록 돌보았습니다.,healthy,Pororo and his friends took care of the baby penguins so they would grow up healthy.
자라다,Verb,뽀로로와 친구들은 아기 펭귄들이 건강하게 자라도록 돌보았습니다.,grow,Pororo and his friends took care of the baby penguins so they would grow up healthy.
돌보다,Verb,뽀로로와 친구들은 아기 펭귄들이 건강하게 자라도록 돌보았습니다.,took care of,Pororo and his friends took care of the baby penguins so they would grow up healthy.
따르다,Verb,아기 펭귄들은 뽀로로와 친구들을 따라서 뒤뚱뒤뚱 걸어 다녔습니다.,following,"The baby penguins waddled around, following Pororo and his friends."
다니다,Verb,아기 펭귄들은 뽀로로와 친구들을 따라서 뒤뚱뒤뚱 걸어 다녔습니다.,walked around,"The baby penguins waddled around, following Pororo and his friends."
노래,Noun,"뽀로로는 아기 펭귄들에게 재미있는 이야기를 해 주고, 노래를 불러 주었습니다.",songs,Pororo told the baby penguins interesting stories and sang them songs.
흐르다,Verb,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.",passed,"As time passed, the baby penguins grew bigger and bigger."
점점,Adverb,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.",gradually,"As time passed, the baby penguins grew bigger and bigger."
커지다,Verb,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.",grew bigger,"As time passed, the baby penguins grew bigger and bigger."
이제,Adverb,이제 아기 펭귄들은 스스로 물고기를 잡을 수 있게 되었습니다.,now,Now the baby penguins were able to catch fish on their own.
스스로,Adverb,이제 아기 펭귄들은 스스로 물고기를 잡을 수 있게 되었습니다.,on their own,Now the baby penguins were able to catch fish on their own.
물고기,Noun,이제 아기 펭귄들은 스스로 물고기를 잡을 수 있게 되었습니다.,fish,Now the baby penguins were able to catch fish on their own.
자랑,Noun,뽀로로는 아기 펭귄들이 자랑스러웠습니다.,proud,Pororo was proud of the baby penguins.
힘,Noun,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",forces,The penguins joined forces to overcome winter and raised the baby penguins well.
합치다,Verb,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",joined,The penguins joined forces to overcome winter and raised the baby penguins well.
겨울,Noun,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",winter,The penguins joined forces to overcome winter and raised the baby penguins well.
이기다,Verb,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",overcome,The penguins joined forces to overcome winter and raised the baby penguins well.
다시,Adverb,펭귄 마을은 다시 활기 넘치는 곳이 되었습니다.,again,The penguin village became a vibrant place again.
활기,Noun,펭귄 마을은 다시 활기 넘치는 곳이 되었습니다.,liveliness,The penguin village became a lively place again.
어느덧,Adverb,어느덧 시간이 많이 흘렀습니다.,already,A lot of time had already passed.
봄,Noun,따뜻한 봄이 왔습니다.,spring,The warm spring has arrived.
녹다,Verb,남극의 얼음이 녹기 시작했습니다.,melt,The ice in the Antarctic began to melt.
준비,Noun,펭귄들은 다시 여행을 준비해야 했습니다.,preparation,The penguins had to prepare for their journey again.
어른,Noun,뽀로로는 이제 어른 펭귄이 되었습니다.,adult,Pororo has now become an adult penguin.
집,Noun,"'얘들아, 이제 우리는 다시 집으로 돌아가야 해.'",home,"'Kids, now we have to go back home.'"
돌아가다,Verb,"'얘들아, 이제 우리는 다시 집으로 돌아가야 해.'",go back,"'Kids, now we have to go back home.'"
슬프다,Adjective,아기 펭귄들은 슬펐습니다.,sad,The baby penguins were sad.
내년,Noun,하지만 뽀로로는 '걱정 마. 내년에 다시 이곳에 올 수 있어.'라고 말했습니다.,next year,"But Pororo said, 'Don't worry. We can come here again next year.'"
이번,Noun,이번에는 아기 펭귄들도 함께였습니다.,this time,"This time, the baby penguins were also together."
모습,Noun,아기 펭귄들은 뒤뚱뒤뚱 걷는 모습이 너무 귀여웠습니다.,appearance,The baby penguins' waddling appearance was so cute.
거의,Adverb,거의 다 왔어!',almost,'We're almost there!'
다,Adverb,거의 다 왔어!',all,'We're almost there!'
지난번,Noun,이번 여행은 지난번보다 더 힘들었습니다.,last time,This journey was harder than last time.
자주,Adverb,"아기 펭귄들은 자주 넘어지고, 길을 잃기도 했습니다.",often,"The baby penguins often fell, and sometimes lost their way."
강,Noun,"어느 날, 펭귄들은 큰 강을 만났습니다.",river,"One day, the penguins encountered a big river."
