Korean,Part of Speech,Example Sentence,English,Sentence Translation
이기다,Verb,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",,
다시,Adverb,펭귄 마을은 다시 활기 넘치는 곳이 되었습니다.,,
활기,Noun,펭귄 마을은 다시 활기 넘치는 곳이 되었습니다.,,
어느덧,Adverb,어느덧 시간이 많이 흘렀습니다.,,
봄,Noun,따뜻한 봄이 왔습니다.,,
녹다,Verb,남극의 얼음이 녹기 시작했습니다.,,
준비,Noun,펭귄들은 다시 여행을 준비해야 했습니다.,,
어른,Noun,뽀로로는 이제 어른 펭귄이 되었습니다.,,
집,Noun,"'얘들아, 이제 우리는 다시 집으로 돌아가야 해.'",,
돌아가다,Verb,"'얘들아, 이제 우리는 다시 집으로 돌아가야 해.'",,
슬프다,Adjective,아기 펭귄들은 슬펐습니다.,,
내년,Noun,하지만 뽀로로는 '걱정 마. 내년에 다시 이곳에 올 수 있어.'라고 말했습니다.,,
이번,Noun,이번에는 아기 펭귄들도 함께였습니다.,,
모습,Noun,아기 펭귄들은 뒤뚱뒤뚱 걷는 모습이 너무 귀여웠습니다.,,
거의,Adverb,거의 다 왔어!',,
다,Adverb,거의 다 왔어!',,
지난번,Noun,이번 여행은 지난번보다 더 힘들었습니다.,,
자주,Adverb,"아기 펭귄들은 자주 넘어지고, 길을 잃기도 했습니다.",,
강,Noun,"어느 날, 펭귄들은 큰 강을 만났습니다.",,
강물,Noun,강물은 너무 차가워서 건너기가 어려웠습니다.,,
건너다,Verb,강물은 너무 차가워서 건너기가 어려웠습니다.,,
그때,Noun,"그때, 한 펭귄이 좋은 아이디어를 냈습니다.",,
좋다,Adjective,"그때, 한 펭귄이 좋은 아이디어를 냈습니다.",,
아이디어,Noun,"그때, 한 펭귄이 좋은 아이디어를 냈습니다.",,
우리,Noun,'우리가 함께 뭉쳐서 뗏목을 만들자!',,
뭉치다,Verb,'우리가 함께 뭉쳐서 뗏목을 만들자!',,
뗏목,Noun,'우리가 함께 뭉쳐서 뗏목을 만들자!',,
만들다,Verb,'우리가 함께 뭉쳐서 뗏목을 만들자!',,
모두,Adverb,펭귄들은 모두 힘을 합쳐서 뗏목을 만들었습니다.,,
태우다,Verb,"뗏목 위에 아기 펭귄들을 태우고, 어른 펭귄들이 뗏목을 끌었습니다.",,
끌다,Verb,"뗏목 위에 아기 펭귄들을 태우고, 어른 펭귄들이 뗏목을 끌었습니다.",,
과정,Noun,펭귄들은 힘든 과정을 거쳐서 강을 건넜습니다.,,
거치다,Verb,펭귄들은 힘든 과정을 거쳐서 강을 건넜습니다.,,
돌아오다,Verb,드디어 펭귄들은 집으로 돌아왔습니다.,,
가득,Adverb,펭귄 마을은 펭귄들로 가득 찼습니다.,,
차다,Verb,펭귄 마을은 펭귄들로 가득 찼습니다.,,
안다,Verb,엄마 펭귄은 뽀로로를 안아 주었습니다.,,
무사히,Adverb,무사히 돌아와서 정말 기쁘다!',,
일,Noun,뽀로로는 엄마 펭귄에게 그동안 있었던 일들을 이야기해 주었습니다.,,
떠나다,Verb,뽀로로는 매년 펭귄들과 함께 긴 여행을 떠났습니다.,,
이끌다,Verb,"뽀로로는 펭귄들의 행진을 이끌면서, 새로운 것을 배우고 경험했습니다.",,
경험,Noun,"뽀로로는 펭귄들의 행진을 이끌면서, 새로운 것을 배우고 경험했습니다.",,
희망,Noun,뽀로로는 펭귄들에게 용기와 희망을 주었습니다.,,
주다,Verb,뽀로로는 펭귄들에게 용기와 희망을 주었습니다.,,
존경,Noun,펭귄들은 뽀로로를 존경하고 따랐습니다.,,
살아가다,Verb,"펭귄들은 함께 살아가는 법을 배우고, 서로를 사랑하며 행복하게 살았습니다.",,
법,Noun,"펭귄들은 함께 살아가는 법을 배우고, 서로를 사랑하며 행복하게 살았습니다.",,
사랑,Noun,"펭귄들은 함께 살아가는 법을 배우고, 서로를 사랑하며 행복하게 살았습니다.",,
전하다,Verb,뽀로로의 이야기는 펭귄 마을에 전해져 내려왔습니다.,,
내려오다,Verb,뽀로로의 이야기는 펭귄 마을에 전해져 내려왔습니다.,,
영원히,Adverb,뽀로로는 펭귄들에게 영원히 기억되는 영웅이 되었습니다.,,
기억,Noun,뽀로로는 펭귄들에게 영원히 기억되는 영웅이 되었습니다.,,
영웅,Noun,뽀로로는 펭귄들에게 영원히 기억되는 영웅이 되었습니다.,,
중요,Noun,이 이야기는 우리에게 중요한 것을 알려줍니다.,,
알리다,Verb,이 이야기는 우리에게 중요한 것을 알려줍니다.,,
그리고,Adverb,그리고 서로 사랑하고 돕는 것이 얼마나 소중한지를요.,,
얼마나,Adverb,그리고 서로 사랑하고 돕는 것이 얼마나 소중한지를요.,,
아끼다,Verb,펭귄들처럼 우리도 서로를 아끼고 사랑하면서 행복하게 살아가도록 노력해야 합니다.,,
노력,Noun,펭귄들처럼 우리도 서로를 아끼고 사랑하면서 행복하게 살아가도록 노력해야 합니다.,,
단순,Noun,펭귄들의 행진은 단순한 이동이 아닙니다.,,
가족,Noun,"그것은 가족, 사랑, 그리고 공동체의 중요성을 보여주는 아름다운 여정입니다.",,
공동체,Noun,"그것은 가족, 사랑, 그리고 공동체의 중요성을 보여주는 아름다운 여정입니다.",,
여정,Noun,"그것은 가족, 사랑, 그리고 공동체의 중요성을 보여주는 아름다운 여정입니다.",,
