Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
젊다,Adjective,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",young,"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",Pure Korean
참여,Noun,모임에 참여한 이들은 보고 싶은 친구와 시간을 보내면서 밀린 일까지 처리할 수 있다는 점을 가장 큰 매력으로 꼽는다.,participation,Those who participated in the gathering cite the ability to spend time with friends they want to see and even handle pending work as the biggest appeal.,參 (cham) participate + 與 (yeo) participate
매력,Noun,모임에 참여한 이들은 보고 싶은 친구와 시간을 보내면서 밀린 일까지 처리할 수 있다는 점을 가장 큰 매력으로 꼽는다.,appeal,Those who participated in the gathering cite the ability to spend time with friends they want to see and even handle pending work as the biggest appeal.,魅 (mae) charm + 力 (ryeok) power
실제로,Adverb,함께 모여 각자 일을 하는 어드민 나이트는 실제로 효율이 있을까.,actually,"Does Admin Night, where people gather to work individually, actually have efficiency?",實 (sil) real + 際 (je) occasion + -로 (adverbial suffix)
효율,Noun,함께 모여 각자 일을 하는 어드민 나이트는 실제로 효율이 있을까.,efficiency,"Does Admin Night, where people gather to work individually, actually have efficiency?",效 (hyo) effect + 率 (yul) rate
집중,Noun,신기하게도 혼자라면 계속 미루던 일도 다른 사람들과 함께 있는 환경에서는 집중하게 되는 경우가 많다.,concentration,"Strangely, even tasks one would continuously postpone when alone are often focused on in an environment with other people.",集 (jip) gather + 中 (jung) center
배경,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,background,"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",背 (bae) back + 景 (gyeong) scenery
심리학,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,psychology,"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",心 (sim) mind + 理 (ri) principle + 學 (hak) study
개념,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,concept,"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",槪 (gae) concept + 念 (nyeom) thought
바디,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,body,"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",Loanword (English 'Body')
더블,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,double,"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",Loanword (English 'Double')
링,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,ling (from 'doubling'),"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",Loanword (from English 'doubling')
효과,Noun,이 현상의 배경에는 심리학 개념인 ‘바디 더블링(Body Doubling)’ 효과가 있다.,effect,"Behind this phenomenon is the 'Body Doubling' effect, a psychological concept.",效 (hyo) effect + 果 (gwa) result
과제,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",task,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",課 (gwa) task + 題 (je) topic
수행,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",performance,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",遂 (su) accomplish + 行 (haeng) do
곁,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",side / presence,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",Pure Korean
존재,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",presence,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",存 (jon) exist + 在 (jae) exist
집중력,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",concentration ability,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",集 (jip) gather + 中 (jung) center + 力 (ryeok) power
책임감,Noun,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",sense of responsibility,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",責 (chaek) responsibility + 任 (im) entrust + 感 (gam) sense
높이다,Verb,"바디 더블링은 한 사람이 과제를 수행하는 동안 다른 사람이 곁에 존재함으로써 집중력과 책임감, 생산성을 높이는 방식이다.",to enhance,"Body Doubling is a method that enhances concentration, responsibility, and productivity by having another person present while one person performs a task.",Pure Korean
상대,Noun,"상대가 내 일을 도와줄 필요도, 같은 과제를 할 필요도 없다.",the other person,"The other person doesn't need to help me with my work, nor do they need to be doing the same task.","相 (서로 상: mutual) + 對 (대할 대: face, oppose)"
공간,Noun,같은 공간에서 각자의 일을 하고 있다는 사실만으로도 효과가 나타난다.,space,The effect appears simply from the fact that people are doing their own work in the same space.,空 (빌 공: empty) + 間 (사이 간: interval)
주의력,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",attention,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","注 (부를 주: pour, focus) + 意 (뜻 의: mind, thought) + 力 (힘 력: power)"
결핍,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",deficit,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","缺 (이지러질 결: lack,缺口) + 乏 (궁할 핍: lack, poor)"
장애,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",disorder,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","障 (가로막을 장: block, obstruct) + 礙 (거리낄 애: hinder, impede)"
협회,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",association,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.",協 (화합할 협: cooperate) + 會 (모일 회: gather)
원래,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",originally,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","原 (근원 원: origin, source) + 來 (올 래: come)"
주의력결핍 과다행동장애,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",Attention Deficit Hyperactivity Disorder,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","注 (부를 주: pour, focus) + 意 (뜻 의: mind) + 力 (힘 력: power) + 缺 (이지러질 결: lack) + 乏 (궁할 핍: lack) + 過 (지날 과: exceed) + 多 (많을 다: many) + 行 (다닐 행: act) + 動 (움직일 동: move) + 障 (가로막을 장: block) + 礙 (거리낄 애: hinder)"
당사자,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",individuals concerned,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","當 (마땅 당: proper, relevant) + 事 (일 사: affair, matter) + 者 (놈 자: person)"
증상,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",symptoms,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","症 (병 증: illness, symptom) + 狀 (형상 상: shape, state)"
활용,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",utilization,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","活 (살 활: live, active) + 用 (쓸 용: use)"
전략,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",strategy,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","戰 (싸움 전: battle, war) + 略 (략할 략: strategy)"
완수,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",completion,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.",完 (완전할 완: complete) + 遂 (이를 수: achieve)
실질,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",practical,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.","實 (열매 실: reality, truth) + 質 (바탕 질: essence, quality)"
도움,Noun,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",help,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.",Pure Korean
알리다,Verb,"미국 주의력결핍장애협회(ADDA)에 따르면 이 개념은 원래 주의력결핍과다행동장애(ADHD) 당사자들이 증상 관리에 활용해 온 전략으로, 지루하거나 까다로운 과제를 완수하는 데 실질적인 도움을 주는 것으로 알려져 있다.",be known,"According to the American Attention Deficit Disorder Association (ADDA), this concept is a strategy originally used by individuals with Attention Deficit Hyperactivity Disorder (ADHD) for symptom management, and it is known to provide practical help in completing boring or difficult tasks.",Pure Korean
타인,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,others,"According to related research, the presence of others strengthens the sense of responsibility and motivation for work, and enhances the brain's state of arousal.",他 (다를 타: other) + 人 (사람 인: person)
동기,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,motivation,"According to related research, the presence of others strengthens the sense of responsibility and motivation for work, and enhances the brain's state of arousal.","動 (움직일 동: move) + 機 (틀 기: cause, opportunity)"
강화,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,strengthening,"According to related research, the presence of others strengthens the sense of responsibility and motivation for work, and enhances the brain's state of arousal.","强 (굳셀 강: strong) + 化 (될 화: change, become)"
뇌,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,brain,"According to related research, the presence of others strengthens the sense of responsibility and motivation for work, and enhances the brain's state of arousal.",腦 (골 뇌: brain)
각성,Noun,관련 연구에 따르면 타인의 존재는 일에 대한 책임감과 수행 동기를 강화하고 뇌의 각성 상태를 높인다.,arousal,"According to related research, the presence of others strengthens the sense of responsibility and motivation for work, and enhances the brain's state of arousal.",覺 (깨달을 각: awaken) + 醒 (깰 성: wake up)
감각,Noun,누군가가 보고 있다는 감각이 해야 할 행동을 지속하게 만드는 것이다.,sense,The feeling that someone is watching is what makes one continue the actions they need to do.,"感 (느낄 감: feel) + 覺 (깨달을 각: sense, perceive)"
지속,Noun,누군가가 보고 있다는 감각이 해야 할 행동을 지속하게 만드는 것이다.,continuation,The feeling that someone is watching is what makes one continue the actions they need to do.,"持 (가질 지: hold, maintain) + 續 (이을 속: continue)"
제공,Noun,바디 더블링이 제공하는 또 다른 효과는 미러링이다.,provides,Another effect that body doubling provides is mirroring.,"提 (끌 제: lift, propose) + 供 (이바지할 공: provide)"
또,Adverb,바디 더블링이 제공하는 또 다른 효과는 미러링이다.,another,Another effect that body doubling provides is mirroring.,Pure Korean
미러,Noun,바디 더블링이 제공하는 또 다른 효과는 미러링이다.,mirror,Another effect that body doubling provides is mirroring.,Loanword from English
동화,Noun,다른 사람이 집중해서 일하는 모습을 보면 자연스럽게 그 분위기에 동화되어 함께 집중하게 된다.,assimilate,"When you see others concentrating on their work, you naturally assimilate into that atmosphere and concentrate with them.","同 (같을 동: same, together) + 化 (될 화: change, become)"
묵묵히,Adverb,"혼자라면 내일로 미뤘을 일도, 누군가가 묵묵히 할 일을 하는 옆에서는 더 이상 미루기 어려워진다.",quietly,Even tasks that one would have postponed until tomorrow if alone become difficult to postpone further when someone next to you is quietly doing their work.,Pure Korean
여럿,Noun,여럿이 모일 필요도 없다.,many people,There's no need for many people to gather.,Pure Korean
외,Noun,"자신 외에 한 사람만 있어도 되고, 직접 만나거나 온라인으로 연결돼 있어도 된다.",besides,"Just one person besides oneself is enough, and they can meet in person or be connected online.","外 (바깥 외: outside, external)"
온라인,Noun,"자신 외에 한 사람만 있어도 되고, 직접 만나거나 온라인으로 연결돼 있어도 된다.",online,"It's okay to have just one person besides yourself, and they can meet in person or be connected online.",Loanword
인식,Noun,서로의 존재를 인식할 수 있는 상태라면 바디 더블링 효과가 나타난다고 전문가들은 설명한다.,recognition,"Experts explain that if it's a state where they can recognize each other's presence, the body doubling effect appears.",인 (recognize) + 식 (knowledge)
전문가,Noun,서로의 존재를 인식할 수 있는 상태라면 바디 더블링 효과가 나타난다고 전문가들은 설명한다.,expert,"Experts explain that if it's a state where they can recognize each other's presence, the body doubling effect appears.",전 (specialized) + 문 (field) + 가 (specialist)
