Korean,Part of Speech,Frequency,Example Sentence,English,Sentence Translation
헤엄치다,Verb,1,물고기들이 헤엄치는 모습을 보면 마음이 편안해져요.,to swim,Seeing fish swim makes my mind feel at ease.
편안,Noun,1,물고기들이 헤엄치는 모습을 보면 마음이 편안해져요.,at ease,Seeing fish swim makes my mind feel at ease.
파다,Verb,1,인사동은 전통적인 물건을 파는 가게가 많은 곳이에요.,to sell,Insadong is a place with many shops selling traditional goods.
한지,Noun,1,"한지, 도자기 등 한국적인 물건들을 구경할 수 있어요.",Hanji (traditional Korean paper),"You can see Korean traditional items like Hanji, pottery, and more."
도자기,Noun,1,"한지, 도자기 등 한국적인 물건들을 구경할 수 있어요.",pottery,"You can see Korean traditional items like Hanji, pottery, and more."
고프다,Adjective,1,"배가 고프니, 맛있는 것을 먹으러 가요.",to be hungry,"Since I'm hungry, let's go eat something delicious."
맛집,Noun,1,인사동에는 맛집이 많아요.,popular restaurant,Insadong has many popular restaurants.
채소,Noun,1,비빔밥은 밥에 여러 가지 채소와 고기를 넣고 고추장으로 비벼 먹는 음식이에요.,vegetable,"Bibimbap is a dish made by mixing rice with various vegetables and meat, and gochujang."
고추장,Noun,1,비빔밥은 밥에 여러 가지 채소와 고기를 넣고 고추장으로 비벼 먹는 음식이에요.,gochujang (Korean chili paste),"Bibimbap is a dish made by mixing rice with various vegetables and meat, and gochujang."
비비다,Verb,1,,to rub,
찻집,Noun,1,"밥을 다 먹고, 우리는 찻집에 갔어요.",teahouse,"After finishing our meal, we went to a teahouse."
감기,Noun,1,유자차는 감기에 좋아요.,cold,Yuja tea is good for colds.
남산타워,Noun,1,남산타워가 점점 더 크게 보여요.,Namsan Tower,Namsan Tower appears gradually bigger.
점점,Adverb,1,남산타워가 점점 더 크게 보여요.,gradually,Namsan Tower appears gradually bigger.
빌딩,Noun,1,"빌딩, 아파트, 강.",building,"Buildings, apartments, a river."
화장품,Noun,1,"옷, 화장품, 액세서리 등 다양한 물건을 살 수 있어요.",cosmetics,"You can buy various items such as clothes, cosmetics, and accessories."
액세서리,Noun,1,"옷, 화장품, 액세서리 등 다양한 물건을 살 수 있어요.",accessories,"You can buy various items such as clothes, cosmetics, and accessories."
다양,Noun,1,"옷, 화장품, 액세서리 등 다양한 물건을 살 수 있어요.",variety,"You can buy various items such as clothes, cosmetics, and accessories."
거리,Noun,1,우리는 명동 거리를 걸으면서 구경했어요.,street,We walked around Myeongdong Street and looked around.
길거리,Noun,1,맛있는 길거리 음식도 많이 팔아요.,street,They also sell a lot of delicious street food.
호떡,Noun,1,"떡볶이, 호떡, 닭꼬치.",Hotteok,"Tteokbokki, Hotteok, Dakkochi."
닭꼬치,Noun,1,"떡볶이, 호떡, 닭꼬치.",chicken skewer,"Tteokbokki, Hotteok, Dakkochi."
꼬치,Noun,1,"떡볶이, 호떡, 닭꼬치.",skewer,"Tteokbokki, Hotteok, Dakkochi."
불판,Noun,1,불판에 고기를 구워서 먹는 거예요.,grill plate,It's about grilling meat on a grill plate and eating it.
상추,Noun,1,상추에 고기를 싸서 먹으면 더 맛있어요.,lettuce,It's even more delicious if you wrap the meat in lettuce and eat it.
동대문,Noun,1,다음 장소는 동대문 디자인 플라자 예요.,Dongdaemun,The next place is Dongdaemun Design Plaza.
플라자,Noun,1,다음 장소는 동대문 디자인 플라자 예요.,plaza,The next place is Dongdaemun Design Plaza.
독특,Noun,1,모양이 아주 독특해요.,uniqueness,Its shape is very unique.
우주선,Noun,1,우주선 같아요!,spaceship,It looks like a spaceship!
불빛,Noun,1,불빛이 많이 켜져요.,lights,Many lights are turned on.
가방,Noun,1,"의자, 옷, 가방.",bag,"Chairs, clothes, bags."
스케이트,Noun,1,"사람들은 거기에서 스케이트보드를 타거나,",skate,"People either skateboard there,"
보드,Noun,1,"사람들은 거기에서 스케이트보드를 타거나,",board,"People either skateboard there,"
가로지르다,Verb,1,한강은 서울을 가로지르는 큰 강이에요.,to traverse,The Han River is a large river that traverses Seoul.
강변,Noun,1,우리는 강변을 걸으면서 이야기를 했어요.,riverside,We walked along the riverside and talked.
피곤,Noun,1,민수는 오늘 하루 종일 서울을 구경해서 아주 피곤했어요.,fatigue,Minsu was very tired because he had been sightseeing in Seoul all day today.
각자,Adverb,1,우리는 각자 방으로 돌아가서 잠을 잤어요.,individually,We each returned to our rooms and slept.
친절,Noun,1,그리고 사람들도 친절해요.,kindness,And people are also kind.
추천,Noun,1,저는 서울을 다른 사람들에게도 추천하고 싶어요.,recommendation,I want to recommend Seoul to other people as well.
아마,Adverb,1,아마 민수는 쇼핑을 하고 싶어 할 거예요.,probably,Min-su will probably want to go shopping.
왜냐하면,Adverb,1,왜냐하면 우리는 친구니까요.,because,Because we are friends.
수도,Noun,1,제 친구 민수도 저에게 사진을 찍어 달라고 했어요.,also,My friend Min-su also asked me to take a picture.
항상,Adverb,1,서울은 항상 새로운 것을 추구하는 도시예요.,always,Seoul is a city that always pursues new things.
추구,Noun,1,서울은 항상 새로운 것을 추구하는 도시예요.,pursuit,Seoul is a city that always pursues new things.
자랑,Noun,1,저는 서울이 자랑스러워요.,pride,I am proud of Seoul.
고향,Noun,1,서울은 제 고향이에요.,hometown,Seoul is my hometown.
알리다,Verb,1,그리고 서울을 더 많은 사람들에게 알리고 싶어요.,to make known,And I want to make Seoul known to more people.
마음속,Noun,1,서울에서 좋은 추억을 만드세요! 서울은 여러분의 마음속에 영원히 남을 거예요.,heart,Make good memories in Seoul! Seoul will remain in your hearts forever.
영원히,Adverb,1,서울에서 좋은 추억을 만드세요! 서울은 여러분의 마음속에 영원히 남을 거예요.,forever,Make good memories in Seoul! Seoul will remain in your hearts forever.
심장,Noun,1,서울은 사랑스러운 도시예요! 서울은 한국의 심장이에요.,heart,Seoul is a lovely city! Seoul is the heart of Korea.
