Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
당일치기,Noun,저는 제가 생각할 때 당일치기를 여행이라고 치지 않는 거 같아요.,a day trip (same-day trip),"When I think about it, I don't think a day trip counts as travel.","Sino-Korean 當日 (당일, that very day) + 치기 (native, doing a quick job of it)"
출발하다,Verb,딱 그날 출발해서 그날 돌아오는 걸 우리가 당일치기라고 하잖아요.,"to depart, set out","Departing that very day and coming back that same day — that's what we call a day trip, right?",Sino-Korean 出發: 出 exit + 發 set out
활동,Noun,"어떤 활동이 있으면 (네, 네.) 다 좋은 거 같아요.",activity,"As long as there's some [memorable] activity, I think it's all good.",Sino-Korean 活動: 活 live/active + 動 move
점점,Adverb,"한국이 점점 갈 곳이 많아지니까, (네.) 그리고 찾을 수 있는 정보도 인터넷에 점점 많아지고 있잖아요.","gradually, increasingly","Since Korea is gradually getting more places to go, and the information you can find online is also gradually increasing...","Sino-Korean 漸漸 (漸 gradually, doubled)"
정보,Noun,찾을 수 있는 정보도 인터넷에 점점 많아지고 있잖아요.,information,"The information you can find online is also gradually increasing, right?",Sino-Korean 情報: 情 feeling/circumstance + 報 report
놀러 오다,Phrase,저 많은 영상이 궁금하시다면 TalkToMeInKorean.com 홈페이지로 놀러 오세요!,to come to hang out/visit,"If you're curious about our many other videos, come visit the TalkToMeInKorean.com homepage!",놀다 (to play) + -러 (in order to) + 오다 (to come)
기억이 남다,Phrase,제 기억에 남는 여행지 한 곳은 사실은 관광지도 아닌 고흥이었어요.,"to be memorable, to stick in one's memory","One place that stays in my memory was actually Goheung, not even a tourist spot.",기억 (memory) + 이 (subject marker) + 남다 (to remain)
갔다 오다,Phrase,여기저기 갔다 와야 되니까 훨씬 일이 많은 거 같아요.,to go and come back,"Since you also have to go here and there and come back, I think it ends up being a lot more work.",가다 (to go) + -았다 (past connective) + 오다 (to come)
감동을 받다,Phrase,"별똥별이 떨어지는 모습을 보고 정말 감동을 받았었는데,",to be moved (emotionally),"Watching the shooting stars fall, I was really moved...","감동 (emotion, being moved) + 을 (object marker) + 받다 (to receive)"
정말 좀,Phrase,정말 배 좀 있고 길거리에 가로등도 없어요.,really quite a bit/a few,"There really are quite a few boats, and there aren't even streetlights on the road.","정말 (really) + 좀 (a bit, quantity)"
-는 편이다,Grammar pattern,저는 좀 약간 같은 여행지를 가는 걸 별로 안 좋아하는 편인데요.,"to tend to be, lean toward ___",I'm kind of not really a fan of going to the same travel spot [more than once].,"-는 (verb modifier) + 편 (side, tendency) + 이다 (to be)"
-는 게 좋을 거 같아요,Grammar pattern,그냥 이 상태로 쭉 가는 게 좋을 거 같아요.,I think it'd be good to ___,I think it'd be good to just keep going as it is.,-는 것/거 (nominalizer) + 이/가 좋다 (to be good) + -(으)ㄹ 거 같다 (seems like)
-냐고 하면 (-냐면),Grammar pattern,"거기를 갔을 때 왜 좋았냐면, 그냥 가족들하고 친척들하고 거기에서 무슨 가족 모임이 있어서...","if you ask ___, as for ___",As for why it was good when I went there — it's just that there was some kind of family gathering with family and relatives...,-냐고 (indirect question ending) + 하면 (if [you] say)
무슨 + N,Grammar pattern,그냥 가족들하고 친척들하고 거기에서 무슨 가족 모임이 있어서 한 10년 전에 간 거 같아요.,some kind of N (unspecified/vague),"We just went there with family and relatives for some kind of family gathering, about 10 years ago.",무슨 (what kind of) + noun
과장 하나도 안 보태고,Phrase,"하늘에 별이 정말 과장 하나도 안 보태고 한 1,000개 보이는 거예요.","no exaggeration at all, seriously","Up in the sky, no exaggeration at all, about 1,000 stars were visible.",과장 (exaggeration) + 하나도 (not even one) + 안 (not) + 보태다 (to add)
하나도 안 + V,Grammar pattern,저는 하나도 안 무서워요.,not ___ at all,I'm not scared at all.,하나 (one) + 도 (even) + 안 (negation) + verb
-기도 하다,Grammar pattern,갈 때마다 뭔가 쪼끔 날씨 운이 안 맞기도 하고,"[it] also happens to ___, sometimes ___","Every time I go, somehow the weather luck is a bit off, among other things...",verb stem + -기 (nominalizer) + 도 (also) + 하다
-(으)ㄴ 다음에,Grammar pattern,차로 한 시간 정도 이동해서 여기를 간 다음에,after doing ___,After traveling about an hour by car and getting here...,past modifier -(으)ㄴ + 다음 (next) + 에 (at)
-다가,Grammar pattern,"저 고등학교 때 밤에 공부하다가 새벽에, 막 2시에 나와서","while doing X, then switching to Y","Back in high school, I'd be studying at night, and then around 2am I'd come out...",verb stem + -다가
N이라고 치다,Grammar pattern,그건 실수라고 치고 넘어갑시다.,to count/consider as N,Let's just call that a mistake and move on.,"noun + 이라고 (quotative, 'as') + 치다 (to regard as)"
-(으)ㅂ시다,Grammar pattern,그건 실수라고 치고 넘어갑시다.,let's ___ (direct/assertive suggestion),Let's just call that a mistake and move on.,verb stem + -(으)ㅂ시다
