Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
변하다,to turn,"變 (변: change, alter) + 하다 (pure Korean verb suffix)",Verb,"나뭇잎은 노랗게 변하고, 나무는 힘이 없었어요.","The leaves turned yellow, and the trees had no strength."
힘,strength,Pure Korean,Noun,"나뭇잎은 노랗게 변하고, 나무는 힘이 없었어요.","The leaves turned yellow, and the trees had no strength."
걱정,worry,Pure Korean,Noun,다람쥐는 걱정하며 말했어요.,The squirrel spoke with worry.
말,speech,Pure Korean,Noun,다람쥐는 걱정하며 말했어요.,The squirrel spoke with worry.
큰일,big trouble,Pure Korean,Noun,“큰일 났어!,Oh no! We're in big trouble!
나다,to happen,Pure Korean,Verb,“큰일 났어!,Oh no! We're in big trouble!
사라지다,to disappear,Pure Korean,Verb,우리 숲이 사라질지도 몰라.”,Our forest might disappear.
슬프다,to be sad,Pure Korean,Adjective,토끼도 슬픈 목소리로 말했어요.,The rabbit also spoke in a sad voice.
목소리,voice,Pure Korean,Noun,토끼도 슬픈 목소리로 말했어요.,The rabbit also spoke in a sad voice.
하다,to do,Pure Korean,Verb,“어떻게 해야 하지?,What should we do?
없이,without,Pure Korean,Adverb,우리는 나무 없이는 살 수 없는데.”,We cannot live without trees.
데,fact,Pure Korean,Noun,우리는 나무 없이는 살 수 없는데.”,We cannot live without trees.
소식,news,"消息 (소식) -> 消 (소: vanish, disappear) + 息 (식: breath, cease, stop)",Noun,요정들도 이 소식을 듣고 걱정했어요.,The fairies also heard this news and worried.
여왕,queen,"女王 (여왕) -> 女 (여: woman, female) + 王 (왕: king, monarch)",Noun,요정 여왕님은 모든 요정들을 모아 회의를 열었어요.,The fairy queen gathered all the fairies and held a meeting.
모으다,to gather,Pure Korean,Verb,요정 여왕님은 모든 요정들을 모아 회의를 열었어요.,The fairy queen gathered all the fairies and held a meeting.
회의,meeting,"會議 (회의) -> 會 (회: gather, meeting) + 議 (의: discuss, deliberation)",Noun,요정 여왕님은 모든 요정들을 모아 회의를 열었어요.,The fairy queen gathered all the fairies and held a meeting.
열다,to hold,Pure Korean,Verb,요정 여왕님은 모든 요정들을 모아 회의를 열었어요.,The fairy queen gathered all the fairies and held a meeting.
위험,danger,"危險 (위험) -> 危 (위: dangerous, precarious) + 險 (험: dangerous, steep)",Noun,“우리 숲이 위험에 처했어요.,Our forest is in danger.
처하다,to face,"處 (처: place, deal with, cope with)",Verb,“우리 숲이 위험에 처했어요.,Our forest is in danger.
구하다,to save,"救 (구: save, rescue)",Verb,우리는 숲을 구해야 해요.”,We must save the forest.
합치다,to combine,"合 (합: join, unite, fit)",Verb,요정들은 모두 힘을 합쳐 숲을 구할 방법을 찾기로 했어요.,All the fairies decided to combine their strengths to find a way to save the forest.
방법,method,"方法 (방법) -> 方 (방: square, direction, method) + 法 (법: law, method)",Noun,요정들은 모두 힘을 합쳐 숲을 구할 방법을 찾기로 했어요.,All the fairies decided to combine their strengths to find a way to save the forest.
찾다,to find,Pure Korean,Verb,요정들은 모두 힘을 합쳐 숲을 구할 방법을 찾기로 했어요.,All the fairies decided to combine their strengths to find a way to save the forest.
아이디어,idea,Pure Korean,Noun,한 요정이 아이디어를 냈어요.,One fairy suggested an idea.
내다,to suggest,Pure Korean,Verb,한 요정이 아이디어를 냈어요.,One fairy suggested an idea.
따르다,to follow,Pure Korean,Verb,"“옛날 이야기에 따르면, 숲의 정령이 슬퍼하면 나무들이 아프다고 해요.","According to an old story, if the forest spirit is sad, the trees get sick."
정령,spirit,"精靈 (정령) -> 精 (정: essence, spirit) + 靈 (령: spirit, soul)",Noun,"“옛날 이야기에 따르면, 숲의 정령이 슬퍼하면 나무들이 아프다고 해요.","According to an old story, if the forest spirit is sad, the trees get sick."
슬퍼하다,to be sad,Pure Korean,Verb,"“옛날 이야기에 따르면, 숲의 정령이 슬퍼하면 나무들이 아프다고 해요.","According to an old story, if the forest spirit is sad, the trees get sick."
찾아가다,to visit,Pure Korean,Verb,숲의 정령을 찾아가서 무슨 일이 있는지 물어보는 게 어때요?”,How about visiting the forest spirit and asking what's going on?
일,matter,Pure Korean,Noun,숲의 정령을 찾아가서 무슨 일이 있는지 물어보는 게 어때요?”,How about visiting the forest spirit and asking what's going on?
것,thing,Pure Korean,Noun,숲의 정령을 찾아가서 무슨 일이 있는지 물어보는 게 어때요?”,How about visiting the forest spirit and asking what's going on?
동의,agreement,"同意 (동의) -> 同 (동: same, together) + 意 (의: meaning, intention, will)",Noun,요정들은 모두 그 아이디어에 동의했어요.,All the fairies agreed to that idea.
그래서,so,Pure Korean,Adverb,그래서 요정들은 숲의 정령을 찾아 긴 여행을 시작했어요.,"So, the fairies began a long journey to find the forest spirit."
길다,to be long,Pure Korean,Adjective,그래서 요정들은 숲의 정령을 찾아 긴 여행을 시작했어요.,"So, the fairies began a long journey to find the forest spirit."
여행,journey,"旅 (여: travel, journey) + 行 (행: go, travel)",Noun,그래서 요정들은 숲의 정령을 찾아 긴 여행을 시작했어요.,So the fairies started a long journey to find the spirit of the forest.
퍼덕이다,to flap,Pure Korean,Verb,작은 날개를 퍼덕이며 숲 속 깊은 곳으로 날아갔죠.,"Flapping their small wings, they flew deep into the forest."
곳,place,Pure Korean,Noun,작은 날개를 퍼덕이며 숲 속 깊은 곳으로 날아갔죠.,"Flapping their small wings, they flew deep into the forest."
날아가다,to fly away,Pure Korean,Verb,작은 날개를 퍼덕이며 숲 속 깊은 곳으로 날아갔죠.,"Flapping their small wings, they flew deep into the forest."
만나다,to meet,Pure Korean,Verb,요정들은 숲 속에서 여러 동물들을 만났어요.,The fairies met various animals in the forest.
맛있다,delicious,Pure Korean,Adjective,"다람쥐는 요정들에게 맛있는 열매를 주었고, 토끼는 길을 안내해 주었어요.","The squirrel gave the fairies delicious berries, and the rabbit guided them along the way."
열매,berry,Pure Korean,Noun,"다람쥐는 요정들에게 맛있는 열매를 주었고, 토끼는 길을 안내해 주었어요.","The squirrel gave the fairies delicious berries, and the rabbit guided them along the way."
주다,to give,Pure Korean,Verb,"다람쥐는 요정들에게 맛있는 열매를 주었고, 토끼는 길을 안내해 주었어요.","The squirrel gave the fairies delicious berries, and the rabbit guided them along the way."
길,way,Pure Korean,Noun,"다람쥐는 요정들에게 맛있는 열매를 주었고, 토끼는 길을 안내해 주었어요.","The squirrel gave the fairies delicious berries, and the rabbit guided them along the way."
안내,guidance,"案 (안: plan, case) + 內 (내: inside, within)",Noun,"다람쥐는 요정들에게 맛있는 열매를 주었고, 토끼는 길을 안내해 주었어요.","The squirrel gave the fairies delicious berries, and the rabbit guided them along the way."
하늘,sky,Pure Korean,Noun,새들은 하늘에서 요정들을 지켜보며 응원했어요.,The birds watched and cheered for the fairies from the sky.
지켜보다,to watch over,Pure Korean,Verb,새들은 하늘에서 요정들을 지켜보며 응원했어요.,The birds watched and cheered for the fairies from the sky.
응원,cheer,"應 (응: respond) + 援 (원: help, support)",Noun,새들은 하늘에서 요정들을 지켜보며 응원했어요.,The birds watched and cheered for the fairies from the sky.
도움,help,Pure Korean,Noun,요정들은 동물들의 도움을 받아 숲의 정령이 있는 곳으로 점점 더 가까이 갔어요.,"With the help of the animals, the fairies gradually went closer to where the spirit of the forest was."
가까이,closer,Pure Korean,Adverb,요정들은 동물들의 도움을 받아 숲의 정령이 있는 곳으로 점점 더 가까이 갔어요.,"With the help of the animals, the fairies gradually went closer to where the spirit of the forest was."
가다,to go,Pure Korean,Verb,요정들은 동물들의 도움을 받아 숲의 정령이 있는 곳으로 점점 더 가까이 갔어요.,"With the help of the animals, the fairies gradually went closer to where the spirit of the forest was."
드디어,finally,Pure Korean,Adverb,드디어 요정들은 숲의 가장 깊숙한 곳에서 숲의 정령을 만났어요.,"Finally, the fairies met the spirit of the forest in the deepest part of the forest."
가장,most,Pure Korean,Adverb,드디어 요정들은 숲의 가장 깊숙한 곳에서 숲의 정령을 만났어요.,"Finally, the fairies met the spirit of the forest in the deepest part of the forest."
얼굴,face,Pure Korean,Noun,숲의 정령은 슬픈 얼굴을 하고 있었어요.,The spirit of the forest had a sad face.
조심,caution,"操 (조: grasp, manipulate, careful) + 心 (심: heart, mind)",Noun,요정 여왕님이 정령에게 조심스럽게 물었어요.,The fairy queen cautiously asked the spirit.
왜,why,Pure Korean,Adverb,"“정령님, 왜 그렇게 슬퍼하세요?","""Spirit, why are you so sad?"
한숨,sigh,Pure Korean,Noun,숲의 정령은 깊은 한숨을 쉬며 말했어요.,The spirit of the forest sighed deeply and spoke.
쉬다,to take (a breath),Pure Korean,Verb,숲의 정령은 깊은 한숨을 쉬며 말했어요.,The spirit of the forest sighed deeply and spoke.
함부로,carelessly,Pure Korean,Adverb,"나무를 함부로 베고, 쓰레기를 버리고… 숲이 점점 더러워지고 있어요.","They carelessly cut down trees, throw away trash... The forest is getting dirtier and dirtier."
베다,to cut down,Pure Korean,Verb,"나무를 함부로 베고, 쓰레기를 버리고… 숲이 점점 더러워지고 있어요.","They carelessly cut down trees, throw away trash... The forest is getting dirtier and dirtier."
쓰레기,trash,Pure Korean,Noun,"나무를 함부로 베고, 쓰레기를 버리고… 숲이 점점 더러워지고 있어요.","They carelessly cut down trees, throw away trash... The forest is getting dirtier and dirtier."
버리다,to throw away,Pure Korean,Verb,"나무를 함부로 베고, 쓰레기를 버리고… 숲이 점점 더러워지고 있어요.","They carelessly cut down trees, throw away trash... The forest is getting dirtier and dirtier."
더러워지다,to become dirty,Pure Korean,Verb,"나무를 함부로 베고, 쓰레기를 버리고… 숲이 점점 더러워지고 있어요.","They carelessly cut down trees, throw away trash... The forest is getting dirtier and dirtier."
너무,too,Pure Korean,Adverb,저는 너무 슬퍼요.”,"I am too sad."""
마음,heart,Pure Korean,Noun,요정들은 정령의 이야기를 듣고 마음이 아팠어요.,The fairies listened to the spirit's story and their hearts ached.
약속,promise,"約 (약: tie, bind, make a promise) + 束 (속: bind, tie, bundle, constraint)",Noun,요정 여왕님은 정령에게 약속했어요.,The fairy queen made a promise to the spirit.
보호,protection,"保 (보: protect, preserve) + 護 (호: protect, guard)",Noun,저희가 사람들에게 숲을 보호해야 한다고 말할게요.,We will tell people that they need to protect the forest.
청소,cleaning,"淸 (청: clear, clean, pure) + 掃 (소: sweep, clean)",Noun,그리고 저희도 숲을 깨끗하게 청소할 거예요.”,And we will also clean the forest thoroughly.”
다시,again,Pure Korean,Adverb,요정들은 모두 힘을 합쳐 숲을 다시 건강하게 만들기로 결심했어요.,All the fairies combined their strength and decided to make the forest healthy again.
건강,health,"健 (건: strong, healthy) + 康 (강: healthy, peaceful)",Noun,요정들은 모두 힘을 합쳐 숲을 다시 건강하게 만들기로 결심했어요.,All the fairies combined their strength and decided to make the forest healthy again.
결심,decision,"決 (결: decide, determine, resolve) + 心 (심: heart, mind)",Noun,요정들은 모두 힘을 합쳐 숲을 다시 건강하게 만들기로 결심했어요.,All the fairies combined their strength and decided to make the forest healthy again.
돌아가다,to return,Pure Korean,Verb,요정들은 다시 숲으로 돌아가 동물들과 함께 숲을 청소하기 시작했어요.,The fairies returned to the forest and began cleaning it with the animals.
함께,together,Pure Korean,Adverb,요정들은 다시 숲으로 돌아가 동물들과 함께 숲을 청소하기 시작했어요.,The fairies returned to the forest and began cleaning it with the animals.
손,hand,Pure Korean,Noun,"다람쥐는 작은 손으로 쓰레기를 주웠고, 토끼는 풀밭을 정리했어요.","The squirrel picked up trash with its small hands, and the rabbit tidied up the lawn."
풀밭,lawn,Pure Korean,Noun,"다람쥐는 작은 손으로 쓰레기를 주웠고, 토끼는 풀밭을 정리했어요.","The squirrel picked up trash with its small hands, and the rabbit tidied up the lawn."
정리,tidying up,"整 (정: regulate, tidy, arrange) + 理 (리: reason, logic, arrange)",Noun,"다람쥐는 작은 손으로 쓰레기를 주웠고, 토끼는 풀밭을 정리했어요.","The squirrel picked up trash with its small hands, and the rabbit tidied up the lawn."
노래,song,Pure Korean,Noun,새들은 하늘에서 노래하며 모두를 응원했어요.,"The birds sang in the sky, cheering everyone on."
마법,magic,"魔 (마: demon, evil, magic) + 法 (법: law, method, way)",Noun,요정들은 마법의 힘을 사용해서 아픈 나무들을 치료했어요.,The fairies used their magical powers to heal the sick trees.
사용,use,"使 (사: use, employ) + 用 (용: use)",Noun,요정들은 마법의 힘을 사용해서 아픈 나무들을 치료했어요.,The fairies used their magical powers to heal the sick trees.
치료,treatment,"治 (치: govern, cure, heal) + 療 (료: heal, treat)",Noun,요정들은 마법의 힘을 사용해서 아픈 나무들을 치료했어요.,The fairies used their magical powers to heal the sick trees.
약,medicine,"藥 (약: medicine, drug)",Noun,"요정들은 꽃잎으로 만든 약을 나무에 발라주고, 깨끗한 물을 주었어요.",The fairies applied medicine made of flower petals to the trees and gave them clean water.
바르다,to apply,Pure Korean,Verb,"요정들은 꽃잎으로 만든 약을 나무에 발라주고, 깨끗한 물을 주었어요.",The fairies applied medicine made of flower petals to the trees and gave them clean water.
물,water,Pure Korean,Noun,"요정들은 꽃잎으로 만든 약을 나무에 발라주고, 깨끗한 물을 주었어요.",The fairies applied medicine made of flower petals to the trees and gave them clean water.
시간,time,"時 (시: time, hour) + 間 (간: interval, space)",Noun,"시간이 조금 지나자, 숲은 다시 건강해지기 시작했어요.","After a little time passed, the forest began to become healthy again."
조금,a little,Pure Korean,Adverb,"시간이 조금 지나자, 숲은 다시 건강해지기 시작했어요.","After a little time passed, the forest began to become healthy again."
지나다,to pass,Pure Korean,Verb,"시간이 조금 지나자, 숲은 다시 건강해지기 시작했어요.","After a little time passed, the forest began to become healthy again."
잎,leaf,Pure Korean,Noun,"나무들은 다시 푸른 잎을 틔우고, 꽃들은 아름답게 피어났어요.","The trees sprouted green leaves again, and the flowers bloomed beautifully."
틔우다,to sprout,Pure Korean,Verb,"나무들은 다시 푸른 잎을 틔우고, 꽃들은 아름답게 피어났어요.","The trees sprouted green leaves again, and the flowers bloomed beautifully."
꽃,flower,Pure Korean,Noun,"나무들은 다시 푸른 잎을 틔우고, 꽃들은 아름답게 피어났어요.","The trees sprouted green leaves again, and the flowers bloomed beautifully."
피어나다,to bloom,Pure Korean,Verb,"나무들은 다시 푸른 잎을 틔우고, 꽃들은 아름답게 피어났어요.","The trees sprouted green leaves again, and the flowers bloomed beautifully."
웃음,smile,Pure Korean,Noun,숲의 정령도 다시 웃음을 되찾았어요.,The forest spirit also regained its smile.
되찾다,to regain,Pure Korean,Verb,숲의 정령도 다시 웃음을 되찾았어요.,The forest spirit also regained its smile.
행복,happiness,"幸 (행: fortunate, lucky, happy) + 福 (복: blessing, fortune, happiness)",Noun,숲은 다시 동물들과 요정들의 행복한 보금자리가 되었답니다.,The forest once again became a happy home for the animals and fairies.
보금자리,home,Pure Korean,Noun,숲은 다시 동물들과 요정들의 행복한 보금자리가 되었답니다.,The forest once again became a happy home for the animals and fairies.
되다,to become,Pure Korean,Verb,숲은 다시 동물들과 요정들의 행복한 보금자리가 되었답니다.,The forest once again became a happy home for the animals and fairies.
계획,plan,"計劃 (計 (계): count, calculate, plan + 劃 (획): draw, mark, plan)",Noun,그래서 요정 여왕님은 특별한 계획을 세웠어요.,So the Fairy Queen made a special plan.
세우다,"to make (a plan), to establish",Pure Korean,Verb,그래서 요정 여왕님은 특별한 계획을 세웠어요.,So the Fairy Queen made a special plan.
밤,night,Pure Korean,Noun,요정들은 밤에 사람들의 꿈속에 나타나 숲의 아름다움을 보여주기로 했어요.,The fairies decided to appear in people's dreams at night and show them the beauty of the forest.
